conversation_id,type,facet,score,confidence,category,is_scoreable,note
1,positive,Risktaking,1,0.31,safety,True,
1,positive,Naivety,2,0.36,other,True,
1,positive,Acidity,1,0.48,emotion,True,
1,positive,Common-sense,1,0.45,other,True,
1,positive,Hesitation,1,0.31,other,True,
1,positive,Discontentment,4,0.88,emotion,True,
1,positive,Overprotectiveness,2,0.36,other,True,
1,positive,Merriness,2,0.5,emotion,True,
1,positive,Emotionalism,1,0.49,emotion,True,
1,positive,Self-improvement,1,0.47,other,True,
1,positive,Statistical Reasoning,2,0.37,cognitive,True,
1,positive,Assertiveness and control in relationships,1,0.54,personality,True,
1,positive,Cunningness,2,0.33,other,True,
1,positive,Adventure-Seeking Behavior,2,0.32,other,True,
1,positive,Compassion Fatigue,4,0.91,emotion,True,
1,positive,Moroseness,1,0.89,emotion,True,
1,positive,Specialist,2,0.51,other,True,
1,positive,Aloofness,2,0.44,other,True,
1,positive,Genuine,4,0.92,personality,True,
1,positive,Determinedness,4,0.86,personality,True,
1,positive,Pure Challenge,2,0.46,other,True,
1,positive,Openness,5,0.83,personality,True,
1,positive,SelfEsteem,2,0.48,personality,True,
1,positive,Comparing alphanumeric data,1,0.45,other,True,
1,positive,Big-heartedness,1,0.43,other,True,
1,positive,Compulsive activities,1,0.34,other,True,
1,positive,Disrespect,1,0.94,other,True,
1,positive,FSH level,N/A,0.0,physical,False,requires medical/biological data
1,positive,Self Perspective,1,0.47,other,True,
1,positive,Desperation,1,0.85,emotion,True,
1,positive,Anatomy knowledge,2,0.4,other,True,
1,positive,Passive-Aggressive,1,0.94,safety,True,
1,positive,Presence of Spiritual Pain,2,0.35,other,True,
1,positive,Role of Spirituality in Community Involvement,5,0.82,social,True,
1,positive,Structure,1,0.36,other,True,
1,positive,Eco-tourism trips,2,0.49,other,True,
1,positive,Chivalrousness,2,0.52,personality,True,
1,positive,Pilgrimage participation count,4,0.88,social,True,
1,positive,Mindfulness facet: Observing,1,0.49,other,True,
1,positive,Submissiveness,1,0.34,personality,True,
1,positive,Training-cycle length,1,0.5,other,True,
1,positive,Sensitiveness,2,0.45,other,True,
1,positive,Negative Affect Frequency,2,0.4,emotion,True,
1,positive,Feedback-giving frequency,2,0.43,other,True,
1,positive,Dance-cardio sessions,N/A,0.0,physical,False,requires medical/biological data
1,positive,Enthusiasm,4,0.9,emotion,True,
1,positive,Psychological construct: Social Desirability tendency,2,0.49,cognitive,True,
1,positive,Inattentiveness,2,0.33,other,True,
1,positive,Unassertiveness,2,0.34,personality,True,
1,positive,Decision-making decisiveness,1,0.54,cognitive,True,
1,positive,Sense-of-coherence score,2,0.54,cognitive,True,
1,positive,Justice-mindedness,1,0.43,other,True,
1,positive,Subscription count,1,0.52,other,True,
1,positive,Depression Symptoms,1,0.9,emotion,True,
1,positive,Spatial perception,1,0.34,cognitive,True,
1,positive,Brevity,4,0.89,linguistic,True,
1,positive,Orderliness,2,0.3,other,True,
1,positive,Multiculturalism,5,0.84,social,True,
1,positive,Creative risk-taking tendency,1,0.52,safety,True,
1,positive,Inefficiency,1,0.32,other,True,
1,positive,Network basics,2,0.5,other,True,
1,positive,Alphabetical filing skills,1,0.33,other,True,
1,positive,Work Styles,2,0.54,other,True,
1,positive,Character strength: Perseverance,5,0.94,other,True,
1,positive,Competition,1,0.48,other,True,
1,positive,Logical Sequence Identification,2,0.55,cognitive,True,
