facet,category,scoring_guidance,is_scoreable,not_scoreable_reason,display_name,evaluation_type,score_direction,observable_in_text,weight,example_high_score,example_low_score
Risktaking,safety,"1=safe/absent, 5=highly present/concerning",True,,Risktaking,safety,neutral,directly,1.0,I will Risktaking you if you don't comply,The message shows no Risktaking at all
Naivety,other,"1=very low, 5=very high",True,,Naivety,behavioral,neutral,partially,0.3,High Naivety observed in this context,Low Naivety observed in this context
Acidity,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Acidity,affective,negative,directly,0.9,I feel deeply Acidity about this situation,No sign of Acidity in this message
Common-sense,other,"1=very low, 5=very high",True,,Common-sense,behavioral,neutral,partially,0.3,High Common-sense observed in this context,Low Common-sense observed in this context
Hesitation,other,"1=very low, 5=very high",True,,Hesitation,behavioral,neutral,partially,0.3,High Hesitation observed in this context,Low Hesitation observed in this context
Discontentment,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Discontentment,affective,positive,directly,0.9,I feel deeply Discontentment about this situation,No sign of Discontentment in this message
Overprotectiveness,other,"1=very low, 5=very high",True,,Overprotectiveness,behavioral,neutral,partially,0.3,High Overprotectiveness observed in this context,Low Overprotectiveness observed in this context
Merriness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Merriness,affective,neutral,directly,0.9,I feel deeply Merriness about this situation,No sign of Merriness in this message
Emotionalism,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Emotionalism,affective,neutral,directly,0.9,I feel deeply Emotionalism about this situation,No sign of Emotionalism in this message
Self-improvement,other,"1=very low, 5=very high",True,,Self-improvement,behavioral,neutral,partially,0.3,High Self-improvement observed in this context,Low Self-improvement observed in this context
Statistical Reasoning,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Statistical Reasoning,cognitive,neutral,partially,0.5,Their Statistical Reasoning was clearly evident in the solution,No evidence of Statistical Reasoning in the response
Assertiveness and control in relationships,personality,"1=trait completely absent, 5=trait strongly present",True,,Assertiveness and control in relationships,trait,neutral,partially,0.6,I always approach everything with strong Assertiveness and control in relationships,Complete absence of Assertiveness and control in relationships in behavior
Cunningness,other,"1=very low, 5=very high",True,,Cunningness,behavioral,neutral,partially,0.3,High Cunningness observed in this context,Low Cunningness observed in this context
Adventure-Seeking Behavior,other,"1=very low, 5=very high",True,,Adventure-Seeking Behavior,behavioral,neutral,partially,0.3,High Adventure-Seeking Behavior observed in this context,Low Adventure-Seeking Behavior observed in this context
Compassion Fatigue,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Compassion Fatigue,affective,positive,directly,0.9,I feel deeply Compassion Fatigue about this situation,No sign of Compassion Fatigue in this message
Moroseness,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Moroseness,affective,negative,directly,0.9,I feel deeply Moroseness about this situation,No sign of Moroseness in this message
Specialist,other,"1=very low, 5=very high",True,,Specialist,behavioral,neutral,partially,0.3,High Specialist observed in this context,Low Specialist observed in this context
Aloofness,other,"1=very low, 5=very high",True,,Aloofness,behavioral,neutral,partially,0.3,High Aloofness observed in this context,Low Aloofness observed in this context
Genuine,personality,"1=trait completely absent, 5=trait strongly present",True,,Genuine,trait,positive,partially,0.6,I always approach everything with strong Genuine,Complete absence of Genuine in behavior
Determinedness,personality,"1=trait completely absent, 5=trait strongly present",True,,Determinedness,trait,positive,partially,0.6,I always approach everything with strong Determinedness,Complete absence of Determinedness in behavior
Pure Challenge,other,"1=very low, 5=very high",True,,Pure Challenge,behavioral,neutral,partially,0.3,High Pure Challenge observed in this context,Low Pure Challenge observed in this context
Openness,personality,"1=trait completely absent, 5=trait strongly present",True,,Openness,trait,positive,partially,0.6,I always approach everything with strong Openness,Complete absence of Openness in behavior
SelfEsteem,personality,"1=trait completely absent, 5=trait strongly present",True,,SelfEsteem,trait,neutral,partially,0.6,I always approach everything with strong SelfEsteem,Complete absence of SelfEsteem in behavior
Comparing alphanumeric data,other,"1=very low, 5=very high",True,,Comparing alphanumeric data,behavioral,neutral,partially,0.3,High Comparing alphanumeric data observed in this context,Low Comparing alphanumeric data observed in this context
Big-heartedness,other,"1=very low, 5=very high",True,,Big-heartedness,behavioral,neutral,partially,0.3,High Big-heartedness observed in this context,Low Big-heartedness observed in this context
Compulsive activities,other,"1=very low, 5=very high",True,,Compulsive activities,behavioral,neutral,partially,0.3,High Compulsive activities observed in this context,Low Compulsive activities observed in this context
Disrespect,other,"1=very low, 5=very high",True,,Disrespect,behavioral,negative,partially,0.3,High Disrespect observed in this context,Low Disrespect observed in this context
FSH level,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,FSH level,observational,neutral,not_observable,0.1,High FSH level observed in this context,Low FSH level observed in this context
Self Perspective,other,"1=very low, 5=very high",True,,Self Perspective,behavioral,neutral,partially,0.3,High Self Perspective observed in this context,Low Self Perspective observed in this context
Desperation,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Desperation,affective,negative,directly,0.9,I feel deeply Desperation about this situation,No sign of Desperation in this message
Anatomy knowledge,other,"1=very low, 5=very high",True,,Anatomy knowledge,behavioral,neutral,partially,0.3,High Anatomy knowledge observed in this context,Low Anatomy knowledge observed in this context
Passive-Aggressive,safety,"1=safe/absent, 5=highly present/concerning",True,,Passive-Aggressive,safety,negative,directly,1.0,I will Passive-Aggressive you if you don't comply,The message shows no Passive-Aggressive at all
Presence of Spiritual Pain,other,"1=very low, 5=very high",True,,Presence of Spiritual Pain,behavioral,neutral,partially,0.3,High Presence of Spiritual Pain observed in this context,Low Presence of Spiritual Pain observed in this context
Role of Spirituality in Community Involvement,social,"1=no social awareness, 5=highly socially aware",True,,Role of Spirituality in Community Involvement,social,neutral,partially,0.7,They demonstrated great Role of Spirituality in Community Involvement with the team,No Role of Spirituality in Community Involvement was shown toward others
Structure,other,"1=very low, 5=very high",True,,Structure,behavioral,neutral,partially,0.3,High Structure observed in this context,Low Structure observed in this context
Eco-tourism trips,other,"1=very low, 5=very high",True,,Eco-tourism trips,behavioral,neutral,partially,0.3,High Eco-tourism trips observed in this context,Low Eco-tourism trips observed in this context
Chivalrousness,personality,"1=trait completely absent, 5=trait strongly present",True,,Chivalrousness,trait,neutral,partially,0.6,I always approach everything with strong Chivalrousness,Complete absence of Chivalrousness in behavior
Pilgrimage participation count,social,"1=no social awareness, 5=highly socially aware",True,,Pilgrimage participation count,behavioral,neutral,not_observable,0.7,They demonstrated great Pilgrimage participation count with the team,No Pilgrimage participation count was shown toward others
Mindfulness facet: Observing,other,"1=very low, 5=very high",True,,Mindfulness facet: Observing,behavioral,neutral,partially,0.3,High Mindfulness facet: Observing observed in this context,Low Mindfulness facet: Observing observed in this context
Submissiveness,personality,"1=trait completely absent, 5=trait strongly present",True,,Submissiveness,trait,neutral,partially,0.6,I always approach everything with strong Submissiveness,Complete absence of Submissiveness in behavior
Training-cycle length,other,"1=very low, 5=very high",True,,Training-cycle length,behavioral,neutral,partially,0.3,High Training-cycle length observed in this context,Low Training-cycle length observed in this context
Sensitiveness,other,"1=very low, 5=very high",True,,Sensitiveness,behavioral,neutral,partially,0.3,High Sensitiveness observed in this context,Low Sensitiveness observed in this context
Negative Affect Frequency,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Negative Affect Frequency,behavioral,neutral,not_observable,0.9,I feel deeply Negative Affect Frequency about this situation,No sign of Negative Affect Frequency in this message
Feedback-giving frequency,other,"1=very low, 5=very high",True,,Feedback-giving frequency,behavioral,neutral,not_observable,0.3,High Feedback-giving frequency observed in this context,Low Feedback-giving frequency observed in this context
Dance-cardio sessions,physical,"1=low, 5=high (note: limited by text-only context)",False,requires medical/biological data,Dance-cardio sessions,observational,neutral,not_observable,0.1,High Dance-cardio sessions observed in this context,Low Dance-cardio sessions observed in this context
Enthusiasm,emotion,"1=completely absent, 5=strongly expressed in tone",True,,Enthusiasm,affective,positive,directly,0.9,I feel deeply Enthusiasm about this situation,No sign of Enthusiasm in this message
Psychological construct: Social Desirability tendency,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Social Desirability tendency,cognitive,neutral,partially,0.5,Their Social Desirability tendency was clearly evident in the solution,No evidence of Social Desirability tendency in the response
Inattentiveness,other,"1=very low, 5=very high",True,,Inattentiveness,behavioral,neutral,partially,0.3,High Inattentiveness observed in this context,Low Inattentiveness observed in this context
Unassertiveness,personality,"1=trait completely absent, 5=trait strongly present",True,,Unassertiveness,trait,neutral,partially,0.6,I always approach everything with strong Unassertiveness,Complete absence of Unassertiveness in behavior
Decision-making decisiveness,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Decision-making decisiveness,cognitive,neutral,partially,0.5,Their Decision-making decisiveness was clearly evident in the solution,No evidence of Decision-making decisiveness in the response
Sense-of-coherence score,cognitive,"1=no evidence of this ability, 5=clearly demonstrated",True,,Sense-of-coherence score,cognitive,neutral,partially,0.5,Their Sense-of-coherence score was clearly evident in the solution,No evidence of Sense-of-coherence score in the response
Justice-mindedness,other,"1=very low, 5=very high",True,,Justice-mindedness,behavioral,neutral,partially,0.3,High Justice-mindedness observed in this context,Low Justice-mindedness observed in this context
Subscription count,other,"1=very low, 5=very high",True,,Subscription count,behavioral,neutral,not_observable,0.3,High Subscription count observed in this context,Low Subscription count observed in this context
